,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
78,1245527,20200123,NE,392021.0,1537247.0,6798352.0,1750173.0,1845603.0,852546.0,1017559.0,844688.0,279023.0,134058.0,57387.0,12756.0,4559.0,5465881.0,191445.0,17315.0,0.0,0.0,W,0.7968032435099738
79,1245528,20200123,NV,611279.0,2423113.0,11444742.0,3313212.0,2783211.0,1401978.0,1881087.0,1593081.0,277897.0,107306.0,64042.0,15496.0,7432.0,9379488.0,171348.0,22928.0,0.0,0.0,W,0.7985497588973343
80,1245529,20200123,NH,265770.0,1090688.0,5519932.0,1199731.0,1291565.0,631074.0,803573.0,1021919.0,450924.0,104855.0,13308.0,1242.0,1741.0,3925943.0,118163.0,2983.0,0.0,0.0,N,0.8040706015224947
81,1245530,20200123,NJ,1850412.0,7058108.0,36978373.0,10293024.0,8983751.0,4237150.0,5339175.0,5521429.0,1958243.0,489997.0,113843.0,23375.0,18386.0,28853100.0,603840.0,41761.0,0.0,0.0,N,0.7922873833139511
82,1245531,20200123,NM,406172.0,1689256.0,9317368.0,2402180.0,2549185.0,1201453.0,1430085.0,1001707.0,406460.0,222666.0,81692.0,17928.0,4012.0,7582903.0,304358.0,21940.0,0.0,0.0,W,0.8061627505216118
83,1245532,20200123,NY,4849208.0,14693001.0,85878218.0,24621706.0,20826471.0,10402059.0,13356084.0,12194214.0,3288769.0,862211.0,231814.0,44597.0,50293.0,69206320.0,1094025.0,94890.0,0.0,0.0,N,0.75185978207479
84,1245533,20200123,NC,1894941.0,8488679.0,38740334.0,8451616.0,9459786.0,4911881.0,6418111.0,6413266.0,2138190.0,630171.0,248746.0,49897.0,18670.0,29241394.0,878917.0,68567.0,0.0,0.0,S,0.8175067076799806
85,1245534,20200123,ND,156631.0,603446.0,2595184.0,687762.0,752852.0,342455.0,323980.0,238838.0,122618.0,81060.0,37972.0,5576.0,2071.0,2107049.0,119032.0,7647.0,0.0,0.0,M,0.7939274573497159
86,1245535,20200123,OH,2296381.0,9393061.0,44454518.0,11135482.0,10708691.0,5280313.0,6997496.0,7315228.0,2134697.0,611035.0,204358.0,46288.0,20930.0,34121982.0,815393.0,67218.0,0.0,0.0,M,0.8035508452841461
87,1245536,20200123,OK,746625.0,3196454.0,13940295.0,3491081.0,3516459.0,1634827.0,2054222.0,2174626.0,696811.0,254772.0,94940.0,16701.0,5856.0,10696589.0,349712.0,22557.0,0.0,0.0,S,0.8106492413669623
88,1245537,20200123,OR,896073.0,3294640.0,16285683.0,4656353.0,4392007.0,2010683.0,2185286.0,2135142.0,615590.0,204131.0,62361.0,12752.0,11378.0,13244329.0,266492.0,24130.0,0.0,0.0,W,0.7861764811858984
89,1245538,20200123,PA,2660926.0,10146134.0,47474720.0,12332980.0,11677924.0,5711338.0,7403658.0,7204784.0,2157372.0,671635.0,259615.0,38872.0,16542.0,37125900.0,931250.0,55414.0,0.0,0.0,N,0.7922297545260193
90,1245539,20200123,RI,209618.0,847697.0,4144095.0,1048581.0,1064799.0,492480.0,623188.0,654807.0,213060.0,36778.0,6156.0,1703.0,2543.0,3229048.0,42934.0,4246.0,0.0,0.0,N,0.8017449861205034
91,1245540,20200123,SC,900267.0,4183860.0,18601921.0,4218965.0,4536362.0,2366842.0,3048553.0,3042203.0,939949.0,287262.0,129373.0,24260.0,8152.0,14170722.0,416635.0,32412.0,0.0,0.0,S,0.8229259418578647
92,1245541,20200123,SD,182354.0,699881.0,3129834.0,813642.0,863343.0,383503.0,412192.0,357146.0,172023.0,83684.0,35791.0,6358.0,2152.0,2472680.0,119475.0,8510.0,0.0,0.0,M,0.7933045050355064
93,1245542,20200123,TN,1264672.0,5505338.0,24074095.0,5493209.0,5865751.0,2957209.0,3820444.0,4006015.0,1299388.0,402199.0,168592.0,47058.0,14230.0,18136613.0,570791.0,61288.0,0.0,0.0,S,0.8131949583530896
94,1245543,20200123,TX,4828224.0,23873621.0,100218909.0,25278449.0,24769093.0,11946990.0,14942129.0,15416203.0,5364782.0,1610916.0,664354.0,158827.0,67166.0,76936661.0,2275270.0,225993.0,0.0,0.0,S,0.8317800127483094
